election_id,SocDemSeats,SocDemPartyID,SocDemPartyName,SocDemLeftRightScore,LargestOtherSeats,LargestOtherPartyID,LargestOtherPartyName,LargestOtherLeftRightScore,leftSeatMargin,leftPluralityPercentage,idealPointDifference,election_date,country_name,country_name_short,seats_total,election_month,election_year,enpp,bond.yield.tminus12,oecd.average.tminus12,bond.yield.tminus11,oecd.average.tminus11,bond.yield.tminus10,oecd.average.tminus10,bond.yield.tminus9,oecd.average.tminus9,bond.yield.tminus8,oecd.average.tminus8,bond.yield.tminus7,oecd.average.tminus7,bond.yield.tminus6,oecd.average.tminus6,bond.yield.tminus5,oecd.average.tminus5,bond.yield.tminus4,oecd.average.tminus4,bond.yield.tminus3,oecd.average.tminus3,bond.yield.tminus2,oecd.average.tminus2,bond.yield.tminus1,oecd.average.tminus1,bond.yield.t,oecd.average.t,bond.yield.tplus1,oecd.average.tplus1,bond.yield.tplus2,oecd.average.tplus2,bond.yield.tplus3,oecd.average.tplus3,bond.yield.tplus4,oecd.average.tplus4,bond.yield.tplus5,oecd.average.tplus5,bond.yield.tplus6,oecd.average.tplus6,bond.yield.tplus7,oecd.average.tplus7,bond.yield.tplus8,oecd.average.tplus8,bond.yield.tplus9,oecd.average.tplus9,bond.yield.tplus10,oecd.average.tplus10,bond.yield.tplus11,oecd.average.tplus11,bond.yield.tplus12,oecd.average.tplus12,cabinetLeft,cabinetOther,country,gwno,ccode,ifscode,gwabbrev,ers_TR,mi_TR,ka_open_TR,debt_cgov_WDI,exp_WDI,gdppc_WDI,gini_WDI,govt_consump_WDI,inflation_WDI,pop_WDI,tax_rev_WDI,polity2_P4
1,55,64320,Labour Party,4.4830000000000005,32,64620,National Party,6.7193,23,0.26436781609195403,2.236299999999999,1972-11-25,New Zealand,NZL,87,11,1972,1.8693504569029389,5.52,7.282727272272727,5.53,7.299090908636363,5.53,7.259090908636364,5.53,7.213636363181818,5.53,7.257272726909091,5.53,7.258181817727273,5.52,7.3618181813636365,5.52,7.557272726818182,5.45,7.539090908818182,5.54,7.477272726818182,5.54,7.500909090454545,5.52,7.506363636,5.53,7.543636363363636,5.54,7.661818181363636,5.54,7.7172727267272725,5.53,7.751818181454546,5.55,7.821818181545455,5.55,7.867272726909091,5.55,7.994545454181818,5.66,8.096363636,5.99,8.218181817818182,6.01,8.473636363272727,6.03,8.493636363181817,6.02,8.406363635909091,6.05,8.509090908727273,1,0,New Zealand,920,920,196,NEW,1,0.42601144,0.16480922,NA,24.4537601,NA,NA,14.7484756,6.776556777,2903900,24.4664634,10
2,19,21322,Francophone Socialist Party,2.9307,23,21421,Party of Liberty and Progress | Flemish Liberals and Democrats,7.0053,-4,-0.09523809523809523,4.0746,1999-06-13,Belgium,BEL,150,6,1999,9.05068382944489,4.96,5.249076470588236,4.88,5.187170588235294,4.66,5.0418,4.34,4.8235882352941175,4.28,4.777141176470588,4.33,4.7276,4.09,4.448088235294118,3.9,4.24275294117647,4.04,4.335994117647059,4.26,4.513258823529412,4.11,4.373647058823529,4.29,4.562752941176471,4.64,4.863035294117647,4.94,5.1448294117647055,5.18,5.338305882352941,5.34,5.481229411764706,5.58,5.730005882352941,5.3,5.459676470588235,5.41,5.5311176470588235,5.79,5.8731,5.79,5.797335294117647,5.62,5.631805882352941,5.52,5.553017647058824,5.69,5.708429411764706,5.53,5.538805882352941,1,1,Belgium,211,211,124,BEL,1,0.06844931,0.81819373,NA,NA,NA,NA,NA,NA,NA,NA,10
3,87,12320,Norwegian Labour Party,3.225133333333334,44,12620,Conservative Party,6.761836363636363,43,0.3282442748091603,3.5367030303030296,2005-09-12,Norway,NOR,169,9,2005,4.561731352819038,4.23,4.145372267058823,4.19,4.040756295294118,4.05,3.9322773029411766,3.94,3.772165757647059,3.9,3.7057303305882354,3.77,3.688375851764706,4.02,3.8504491711764706,3.87,3.6577057011764706,3.7,3.498424842352941,3.55,3.3441757352941175,3.56,3.402857988235294,3.62,3.4181253047058826,3.49,3.300078991764706,3.68,3.481021422352941,3.96,3.6446547952941177,3.83,3.556648241764706,3.65,3.5640998805882353,3.72,3.659283521764706,3.84,3.8219792029411765,4.07,4.059620365882353,4.17,4.118098414705883,4.26,4.164453410588235,4.31,4.1760630111764705,4.2,4.05921038,4.12,3.941976022352941,1,0,Norway,385,385,142,NOR,0.4609099,0.25218913,1,35.370916,43.4253487,88519.0865,32.2,19.4441064,1.522058824,4623291,28.1989117,10
6,60,53520,Fine Gael (Familiy of the Irish),5.640466666666667,84,53620,Fianna Fail (Soldiers of Destiny),6.0713,-24,-0.16666666666666666,0.4308333333333332,1977-06-16,Ireland,IRL,148,6,1977,2.3782844733984803,13.89,9.491999999499999,14.14,9.4129999995,14.37,9.5259999997,15.23,9.5619999997,16.37,9.6319999995,15.84,9.5129999999,15.49,9.3789999998,14.09,9.2379999998,14.28,9.2029999998,12.7,9.1379999997,13.14,9.0669999996,13.45,9.023999999699999,13.58,9.0899999996,13.86,8.80454545409091,13.17,8.709090908727273,11.87,8.807272726818182,11.24,8.850909090545453,11.96,8.923636363272728,11.3,9.776666666333334,11.68,9.028181817818181,12.29,9.183636363181819,12.28,9.427499999666667,12.89,9.409999999750001,13.26,9.507499999583333,13.31,9.62833333275,0,1,Ireland,205,205,178,IRE,1,0.36957979,0.24799537,NA,44.1731169,15486.4195,NA,19.0029623,13.63636364,3282200,22.5107557,10
8,28,54320,Malta Labour Party,4.2105,27,54620,Nationalist Party,5.7143,1,0.01818181818181818,1.5038,1971-06-14,Malta,MLT,55,6,1971,1.9993390614672837,NA,7.882222221777778,NA,7.776666666222222,NA,7.719999999666666,NA,7.764444444222222,NA,7.781111110777778,NA,7.6699999995555554,NA,7.715999999599999,NA,7.6136363631818185,NA,7.577272726818181,NA,7.473636363363636,NA,7.472727272272727,NA,7.6199999997272725,NA,7.628181817727272,NA,7.686363636,NA,7.602727272454546,NA,7.461818181363636,NA,7.396363636181818,NA,7.282727272272727,NA,7.299090908636363,NA,7.259090908636364,NA,7.213636363181818,NA,7.257272726909091,NA,7.258181817727273,NA,7.3618181813636365,NA,7.557272726818182,1,0,Malta,338,338,181,MLT,0.25414937,0.62138235,NA,NA,45.510761,3834.02317,NA,18.4123146,2.323812158,302700,NA,NA
11,147,42520,Austrian People's Party,5.110633333333333,14,42420,Freedom Party of Austria,8.3494,133,0.8260869565217391,3.238766666666666,1953-02-22,Austria,AUT,165,2,1953,2.4711809022419895,NA,3.52,NA,3.53,NA,3.5,NA,3.46,NA,3.54,NA,3.61,NA,3.65,NA,3.65,NA,3.61,NA,3.6,NA,3.61,NA,3.68,NA,3.67,NA,3.68,NA,3.26,NA,3.3899999999999997,NA,3.4349999999999996,NA,3.34,NA,3.3600000000000003,NA,3.3200000000000003,NA,3.18,NA,3.165,NA,3.0999999999999996,NA,3.0149999999999997,NA,2.93,1,0,Austria,305,305,122,AUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
15,51,14320,Social Democratic Party of Finland,3.5595,48,14810,Centre Party,5.8027,3,0.030303030303030304,2.2432,1999-03-21,Finland,FIN,200,3,1999,5.150656708730363,5.04,5.415111111111111,5.01,5.3291611111111115,5.08,5.354711111111111,4.95,5.233016666666667,4.86,5.170105555555556,4.68,5.020588888888889,4.45,4.796722222222222,4.45,4.749522222222222,4.41,4.705511111111111,4.06,4.428194444444444,3.91,4.223711111111111,4.04,4.31955,4.26,4.499188888888889,4.07,4.359,4.24,4.5476,4.58,4.850644444444445,4.92,5.13345,5.15,5.329511111111111,5.32,5.4733833333333335,5.56,5.721672222222222,5.27,5.450805555555555,5.37,5.524388888888889,5.75,5.868483333333334,5.72,5.7969277777777775,5.5,5.63115,1,0,Finland,375,375,172,FIN,1,0.10398104,1,NA,NA,NA,NA,NA,NA,NA,NA,10
17,177,32220,Communist Party,1.6,234,32520,Christian Democrats,5.6611,-57,-0.1386861313868613,4.0611,1987-06-14,Italy,ITA,630,6,1987,4.0743630279015335,10.85,9.8875,11.06,9.875625,10.81,9.895624999999999,10.43,9.72125,10.26,9.888125,10.33,9.94875,10.05,10.00375,9.78,10.17375,9.84,10.150625,10.03,10.067499999999999,10.07,10.161875,10.2,10.254375,10.41,10.196875,10.9,10.348125,11.3,10.58125,11.3,10.775,11.63,10.81,11.49,9.973333333333333,10.75,10.523125,10.55,10.454375,10.57,10.284375,10.58,10.053125,10.72,9.995,10.85,9.93625,10.83,9.716875,0,1,Italy/Sardinia,325,325,136,ITA,0.5816009,0.38123372,0.41280457,NA,18.0401657,28130.2503,NA,18.7615671,4.732254047,56601931,25.9110739,10
19,66,21320,Belgian Socialist Party,2.5,92,21520,Francophone Christian Social Party and Flemish Christian People's Party,6.2,-26,-0.16455696202531644,3.7,1946-02-17,Belgium,BEL,202,2,1946,2.995448539127881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Belgium,211,211,124,BEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
20,311,31320,Socialist Party,2.990027974276527,149,31621,Rally for the Republic,6.950418120805369,162,0.3521739130434783,3.9603901465288422,1981-06-21,France,FRA,474,6,1981,2.6794991055456174,12.93,11.917692307461538,12.89,11.85769230753846,12.84,12.086153845846153,13.26,12.389230769,13.73,12.553076922692307,13.71,12.73153846123077,13.69,13.269999999642858,13.88,12.784615384461539,14.36,13.09769230746154,14.26,13.246923076769232,14.3,13.584615384461538,16.86,13.854615384384616,16.69,13.963076922846154,16.62,14.223076922692307,16.9,14.393846153538462,17.05,14.72153846123077,16.68,14.614615384384615,16.4,14.285384615153847,16.14,14.587142857,16.07,14.323076922846154,16.15,14.206923076692307,16.12,13.941538461230769,16.08,13.886923076692307,15.83,13.869230769076923,15.88,14.144615384538461,1,0,France,220,220,132,FRN,0.41422233,0.24427782,0.41280457,NA,21.8115867,27134.3183,NA,21.6032505,13.33333333,55585824,19.3036799,8
